,ID,year,month,monthly_rainfall
316,CPD,2000,5,8.58
317,CPD,2000,6,1.36
318,CPD,2000,7,1.75
319,CPD,2000,8,2.50
320,CPD,2000,9,.40
321,CPD,2000,10,.00
322,CPD,2000,11,.00
323,CPD,2000,12,.50
324,CMV,2000,1,3.37
325,CMV,2000,2,6.60
326,CMV,2000,3,2.06
327,CMV,2000,4,15.13
328,CMV,2000,5,21.80
329,CMV,2000,6,5.49
330,CMV,2000,7,2.93
331,CMV,2000,8,3.64
332,CMV,2000,9,.80
333,CMV,2000,10,.00
334,CMV,2000,11,.00
335,CMV,2000,12,1.58
336,CPY,2000,1,.52
337,CPY,2000,2,1.77
338,CPY,2000,3,
339,CPY,2000,4,4.85
340,CPY,2000,5,7.64
341,CPY,2000,6,2.26
342,CPY,2000,7,1.56
343,CPY,2000,8,.99
344,CPY,2000,9,.19
345,CPY,2000,10,.00
346,CPY,2000,11,.00
347,CPY,2000,12,.04
348,CPT,2000,1,1.75
349,CPT,2000,2,3.76
350,CPT,2000,3,.48
351,CPT,2000,4,12.41
352,CPT,2000,5,11.18
353,CPT,2000,6,1.68
354,CPT,2000,7,1.34
355,CPT,2000,8,3.22
356,CPT,2000,9,.27
357,CPT,2000,10,.00
358,CPT,2000,11,.36
359,CPT,2000,12,.00
360,CDV,2000,1,1.02
361,CDV,2000,2,.33
362,CDV,2000,3,.64
363,CDV,2000,4,3.05
364,CDV,2000,5,1.13
365,CDV,2000,6,.78
366,CDV,2000,7,.45
367,CDV,2000,8,.70
368,CDV,2000,9,.07
369,CDV,2000,10,.00
370,CDV,2000,11,.00
371,CDV,2000,12,.10
372,CHL,2000,1,3.74
373,CHL,2000,2,6.03
374,CHL,2000,3,1.34
375,CHL,2000,4,16.03
376,CHL,2000,5,26.12
377,CHL,2000,6,7.76
378,CHL,2000,7,4.04
379,CHL,2000,8,3.33
380,CHL,2000,9,.65
381,CHL,2000,10,.00
382,CHL,2000,11,.00
383,CHL,2000,12,1.12
384,CVD,2000,1,1.20
385,CVD,2000,2,4.00
386,CVD,2000,3,.08
387,CVD,2000,4,18.15
388,CVD,2000,5,16.39
389,CVD,2000,6,2.33
390,CVD,2000,7,3.31
391,CVD,2000,8,2.99
392,CVD,2000,9,.76
393,CVD,2000,10,.00
394,CVD,2000,11,.02
395,CVD,2000,12,1.32
396,CHS,2000,1,1.77
397,CHS,2000,2,3.05
398,CHS,2000,3,1.63
399,CHS,2000,4,9.02
400,CHS,2000,5,10.94
401,CHS,2000,6,1.97
402,CHS,2000,7,2.13
403,CHS,2000,8,2.16
404,CHS,2000,9,.19
405,CHS,2000,10,.00
406,CHS,2000,11,.00
407,CHS,2000,12,.87
408,CES,2000,1,.63
409,CES,2000,2,2.90
410,CES,2000,3,.75
411,CES,2000,4,5.48
412,CES,2000,5,8.32
413,CES,2000,6,3.39
414,CES,2000,7,2.37
415,CES,2000,8,.96
416,CES,2000,9,.39
417,CES,2000,10,.00
418,CES,2000,11,.00
419,CES,2000,12,.26
420,CNL,2000,1,.00
421,CNL,2000,2,.00
422,CNL,2000,3,.00
423,CNL,2000,4,.10
424,CNL,2000,5,.58
425,CNL,2000,6,.80
426,CNL,2000,7,.03
427,CNL,2000,8,.00
428,CNL,2000,9,.00
429,CNL,2000,10,.00
430,CNL,2000,11,.19
431,CNL,2000,12,.00
432,CLH,2000,1,.65
433,CLH,2000,2,4.18
434,CLH,2000,3,.84
435,CLH,2000,4,7.03
436,CLH,2000,5,10.66
437,CLH,2000,6,2.75
438,CLH,2000,7,2.04
439,CLH,2000,8,1.40
440,CLH,2000,9,.63
441,CLH,2000,10,.00
442,CLH,2000,11,.00
443,CLH,2000,12,.25
444,CLN,2000,1,.00
445,CLN,2000,2,.07
446,CLN,2000,3,.00
447,CLN,2000,4,1.39
448,CLN,2000,5,1.32
449,CLN,2000,6,.66
450,CLN,2000,7,.67
451,CLN,2000,8,.00
452,CLN,2000,9,.00
453,CLN,2000,10,.00
454,CLN,2000,11,.00
455,CLN,2000,12,.00
456,CFF,2000,1,2.05
457,CFF,2000,2,9.61
458,CFF,2000,3,1.48
459,CFF,2000,4,16.16
460,CFF,2000,5,14.87
461,CFF,2000,6,5.12
462,CFF,2000,7,7.13
463,CFF,2000,8,2.00
464,CFF,2000,9,.49
465,CFF,2000,10,.85
466,CFF,2000,11,.00
467,CFF,2000,12,.31
468,CLF,2000,1,1.87
469,CLF,2000,2,5.58
470,CLF,2000,3,1.65
471,CLF,2000,4,13.38
472,CLF,2000,5,20.61
473,CLF,2000,6,4.00
474,CLF,2000,7,3.02
475,CLF,2000,8,3.45
476,CLF,2000,9,.57
477,CLF,2000,10,.00
478,CLF,2000,11,.00
479,CLF,2000,12,1.32
480,CTT,2000,1,.00
481,CTT,2000,2,.00
482,CTT,2000,3,.00
483,CTT,2000,4,.24
484,CTT,2000,5,2.04
485,CTT,2000,6,1.15
486,CTT,2000,7,.20
487,CTT,2000,8,.00
488,CTT,2000,9,.00
489,CTT,2000,10,.00
490,CTT,2000,11,.19
491,CTT,2000,12,.00
492,COV,2000,1,2.28
493,COV,2000,2,5.92
494,COV,2000,3,1.78
495,COV,2000,4,9.73
496,COV,2000,5,11.17
497,COV,2000,6,2.18
498,COV,2000,7,1.79
499,COV,2000,8,1.73
500,COV,2000,9,.16
501,COV,2000,10,.05
502,COV,2000,11,.00
503,COV,2000,12,.17
504,CRV,2000,1,
505,CRV,2000,2,
506,CRV,2000,3,
507,CRV,2000,4,
508,CRV,2000,5,
509,CRV,2000,6,
510,CRV,2000,7,
511,CRV,2000,8,
